Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
The Lost Symbol (Robert Langdon),Dan Brown,2009-01-01,4.3,29019,Hardcover,15.05
The Shack: Where Tragedy Confronts Eternity,William P. Young,2009-01-01,4.6,41129,Paperback,10.14
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,2009-01-01,4.8,5341,Hardcover,14.76
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,2009-01-01,4.7,25424,Hardcover,19.55
Going Rogue: An American Life,Sarah Palin,2009-01-01,4.6,1598,Hardcover,6.3
StrengthsFinder 2.0,Gallup,2009-01-01,4.1,8179,Hardcover,20.96
The Help,Kathryn Stockett,2009-01-01,4.7,33007,Hardcover,15.0
New Moon (The Twilight Saga),Stephenie Meyer,2009-01-01,4.6,21013,Paperback,17.01
The Twilight Saga Collection,Stephenie Meyer,2009-01-01,4.7,7059,Hardcover,58.0
Outliers: The Story of Success,Malcolm Gladwell,2009-01-01,4.6,35961,Hardcover,15.69
Eclipse (Twilight),Stephenie Meyer,2009-01-01,4.7,20411,Hardcover,19.19
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,2009-01-01,4.7,35179,Paperback,16.58
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,2009-01-01,4.5,1429,Paperback,9.69
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,2009-01-01,4.3,4229,Paperback,12.2
The Love Dare,Stephen Kendrick,2009-01-01,4.8,3510,Paperback,12.36
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,2009-01-01,4.5,8487,Hardcover,21.49
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,2009-01-01,4.6,14977,Hardcover,11.32
Under the Dome: A Novel,Stephen King,2009-01-01,4.4,13351,Hardcover,28.52
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2009-01-01,4.6,37106,Paperback,10.32
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,2009-01-01,4.5,958,Paperback,10.82
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,2009-01-01,4.6,913,Hardcover,9.62
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,2009-01-01,4.8,8220,Hardcover,25.99
Sookie Stackhouse,Charlaine Harris,2009-01-01,4.7,1002,Mass Market Paperback,59.99
The Time Traveler's Wife,Audrey Niffenegger,2009-01-01,4.4,10788,Paperback,9.71
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2009-01-01,4.5,12971,Paperback,15.38
True Compass: A Memoir,Edward M. Kennedy,2009-01-01,4.5,584,Hardcover,13.46
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,2009-01-01,4.5,31491,Paperback,10.07
The 5000 Year Leap,W. Cleon Skousen,2009-01-01,4.8,2655,Paperback,10.99
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2009-01-01,4.5,8445,Hardcover,15.5
Eclipse (Twilight Sagas),Stephenie Meyer,2009-01-01,4.7,20411,Paperback,17.0
Where the Wild Things Are: A Caldecott Award Winner,Maurice Sendak,2009-01-01,4.9,34168,Hardcover,12.9
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,2009-01-01,4.6,12414,Hardcover,20.14
Olive Kitteridge,Elizabeth Strout,2009-01-01,4.2,28603,Paperback,8.89
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,2009-01-01,4.6,4400,Hardcover,10.81
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,2009-01-01,4.3,1176,Paperback,17.4
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,2009-01-01,4.5,4311,Hardcover,15.74
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2009-01-01,4.4,8357,Paperback,14.99
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2009-01-01,4.7,2262,Paperback,17.16
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,2009-01-01,4.8,29564,Hardcover,10.32
The Elegance of the Hedgehog,Muriel Barbery,2009-01-01,4.2,6608,Paperback,8.99
"I, Alex Cross",James Patterson,2009-01-01,4.5,7531,Hardcover,9.64
The Girl Who Played with Fire (Millennium),Stieg Larsson,2009-01-01,4.6,25388,Hardcover,14.69
The Last Lecture,Randy Pausch,2009-01-01,4.6,11052,Hardcover,16.31
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,2009-01-01,4.6,879,Paperback,12.98
