,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
0,1,The Lost Symbol (Robert Langdon),Dan Brown,2009,4.3,"29,019",Hardcover,15.05
1,2,The Shack: Where Tragedy Confronts Eternity,William P. Young,2009,4.6,"41,129",Paperback,10.14
2,3,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,2009,4.8,"5,341",Hardcover,14.76
3,4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,2009,4.7,"25,424",Hardcover,19.55
4,5,Going Rogue: An American Life,Sarah Palin,2009,4.6,"1,598",Hardcover,6.30
5,6,StrengthsFinder 2.0,,2009,4.1,Gallup,Hardcover,20.96
6,7,The Help,Kathryn Stockett,2009,4.7,"33,007",Hardcover,15.00
7,8,New Moon (The Twilight Saga),Stephenie Meyer,2009,4.6,"21,013",Paperback,17.01
8,9,The Twilight Saga Collection,Stephenie Meyer,2009,4.7,"7,059",Hardcover,58.00
9,10,Outliers: The Story of Success,Malcolm Gladwell,2009,4.6,"35,961",Hardcover,15.69
10,11,Eclipse (Twilight),Stephenie Meyer,2009,4.7,"20,411",Hardcover,19.19
11,12,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,2009,4.7,"35,179",Paperback,16.58
12,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,2009,4.5,"1,429",Paperback,9.69
13,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,2009,4.3,"4,229",Paperback,12.20
14,15,The Love Dare,Stephen Kendrick,2009,4.8,"3,510",Paperback,12.36
15,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,2009,4.5,"8,487",Hardcover,21.49
16,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,2009,4.6,"14,977",Hardcover,11.32
17,18,Under the Dome: A Novel,Stephen King,2009,4.4,"13,351",Hardcover,28.52
18,19,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2009,4.6,"37,106",Paperback,10.32
19,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,2009,4.5,959,Paperback,10.82
